Station ID,Station Name,Group Median Regions,Region Name,NDBC Master Regions
1611400,"Nawiliwili, HI",HWI,Hawaii,Pacific Islands
1612340,"Honolulu, HI",HWI,Hawaii,Pacific Islands
1612480,"Mokuoloe, HI",HWI,Hawaii,Pacific Islands
1615680,"Kahului, HI",HWI,Hawaii,Pacific Islands
1617433,"Kawaihae, HI",HWI,Hawaii,Pacific Islands
1617760,"Hilo, HI",HWI,Hawaii,Pacific Islands
1619910,"Sand Island, Midway",HWI,Hawaii,Pacific Islands
1630000,"Apra Harbor, Guam",PCI,Pacific Islands,Pacific Islands
1770000,"Pago Pago, AS",PCI,Pacific Islands,Pacific Islands
1820000,"Kwajalein, MI",PCI,Pacific Islands,Pacific Islands
1890000,Wake Island,PCI,Pacific Islands,Pacific Islands
2695540,"Bermuda - St. Georges, BM",BMD,Bermuda,Atlantic/Caribbean Islands
8410140,"Eastport, ME",GOM,Gulf of Maine,Northeast
8413320,"Bar Harbor, ME",GOM,Gulf of Maine,Northeast
8418150,"Portland, ME",GOM,Gulf of Maine,Northeast
8443970,"Boston, MA",GOM,Gulf of Maine,Northeast
8447386,"Fall River, MA",NTS,Nantucket Shoals,Northeast
8447930,"Woods Hole, MA",NTS,Nantucket Shoals,Northeast
8449130,"Nantucket Island, MA",NTS,Nantucket Shoals,Northeast
8452660,"Newport, RI",NTS,Nantucket Shoals,Northeast
8452944,"Conimicut Light, RI",NTS,Nantucket Shoals,Northeast
8454000,"Providence, RI",NTS,Nantucket Shoals,Northeast
8454049,"Quonset Point, RI",NTS,Nantucket Shoals,Northeast
8461490,"New London, CT",LIS,Long Island Sound,Northeast
8465705,"New Haven, CT",LIS,Long Island Sound,Northeast
8467150,"Bridgeport, CT",LIS,Long Island Sound,Northeast
8510560,"Montauk, NY",LIS,Long Island Sound,Northeast
8516945,"Kings Point, NY",LIS,Long Island Sound,Northeast
8518750,"The Battery - Manhattan, NY",RTB,Raritan Bay,Northeast
8519483,"Bergen Point West Reach, NY",RTB,Raritan Bay,Northeast
8531680,"Sandy Hook, NJ",RTB,Raritan Bay,Northeast
